Time,Temperature (C),Humidity (%),Pressure (Pa),CO2 (ppm)
2023-03-09 14:05:20,21.2,52.1,100785.7,580
2023-03-09 14:05:21,21.3,51.9,100789.2,582
2023-03-09 14:05:22,21.1,52.3,100786.1,579
2023-03-09 14:05:23,21.0,52.2,100783.2,581
2023-03-09 14:05:24,20.9,52.0,100784.5,579
2023-03-09 14:05:25,21.0,52.1,100784.2,583
2023-03-09 14:05:26,21.1,51.8,100783.9,580
2023-03-09 14:05:27,21.2,51.9,100784.1,582
2023-03-09 14:05:28,21.3,51.7,100783.8,578
2023-03-09 14:05:29,21.4,51.6,100784.3,580
2023-03-09 14:05:30,21.5,51.8,100784.0,582
2023-03-09 14:05:31,21.4,51.9,100784.8,581
2023-03-09 14:05:32,21.3,52.2,100783.5,579
2023-03-09 14:05:33,21.2,52.3,100784.0,581
2023-03-09 14:05:34,21.1,52.1,100784.5,580
2023-03-09 14:05:35,21.2,51.8,100783.7,582
2023-03-09 14:05:36,21.3,51.6,100783.9,580
2023-03-09 14:05:37,21.4,51.7,100784.2,579
2023-03-09 14:05:38,21.5,51.9,100784.3,582
2023-03-09 14:05:39,21.6,52.0,100784.7,581
